#separator:tab
#html:false
轮动策略的原理是什么？	在不同的市场环境下，动态切换不同的选股策略或指数ETF，以获取更好的收益。
轮动策略回测框架，主要功能包括：那三个脚本。	指数成分股数据整理（脚本1）选股策略回测（脚本2）轮动策略回测（脚本3）
"轮动策略/ # 具体策略实现包含了哪些策略？"	风火轮2_动态仓位.py 风火轮3_双均.py 风火轮4_双轮动.py  ← 主打策略 海龟轮动策略.py 最小回撤轮动策略.py
完整的回测流程是什么样的？	数据整理 → 因子计算 → 策略回测 → 结果评估）
轮动框架需要配合哪个框架才能使用呢？	选股框架
风火轮4策略是主打策略，它的策略方式是什么呢？	第一轮轮动：在大市值和小市值风格之间选择，第二轮轮动：在选中的风格内，根据动量和波动率选择具体策略，择时空仓：当价格处于高位且开始下跌时空仓。
对于专业级别的量化代码，维度有下面几个方面，分别应该是什么样的？代码架构   ，策略复杂度   ，数据处理   ，性能优化   ，评估系统	代码架构    微服务、分布式, 策略复杂度       机器学习、深度学习, 数据处理    大数据框架（Spark）, 性能优化    GPU加速、C++底层, 评估系统        风险模型、归因分析.
当前邢不行量化代码里面后续策略这个层面缺失的东西有哪些？	❌ 缺少机器学习算法 ❌ 缺少高频策略支持 ❌ 缺少期权、期货支持 ❌ 缺少跨品种套利
当前邢不行量化代码里面，风控，这个层面缺失的东西有哪些？	❌ 缺少仓位管理系统 ❌ 缺少风险预警机制 ❌ 缺少止损止盈逻辑  ❌ 缺少VaR、CVaR等风险指标
当前邢不行量化代码里面，工程，这个层面缺失的东西有哪些？	❌ 缺少日志监控系统 ❌ 缺少数据库支持 ❌ 缺少API接口
如何去查看虚拟环境里面的Python版本呢？	1 conda activate xxx 2 python --version
建立一个虚拟环境，然后里面是使用python 3.11，指令是什么？	conda create -n <name> python=3.11 -y
py-mini-racer 这个包作用是什么？	用于在 Python 中执行 JavaScript 代码
.pyd 文件是什么？	.pyd 文件是 Python Dynamic Module（Python 动态模块）的缩写，它是： 编译后的二进制文件，类似于 Windows 的 .dll 文件
.pyd 文件的用途是什么？	提高性能（编译后的代码比 Python 快）保护源代码（无法反编译查看逻辑）
IPythonApiClient.cp311-win_amd64.pyd 这个名字的解析是什么？如何理解呢？	IPythonApiClient是模块名称 .cp311是CPython 3.11版本-win是Windows平台_amd64是64位系统
IPythonApiClient.cp311-win_amd64.pyd 这个名字的解析是什么？如何理解呢？  。	"IPythonApiClient - 模块名（可能是""Interactive Python API Client""）cp311 - 为 CPython 3.11 编译的win - Windows 系统amd64 - 64位架构"
xtquant 是什么？	这是 迅投QMT量化交易系统的 Python API接口
IPythonApiClient.pyd 的作用 是什么？	这个模块是 RPC客户端（远程过程调用客户端），用于： 与券商服务器通信，发送交易指令，接收行情数据，处理账户信息。
关于 .pyd 文件， 是什么?	Python编译后的二进制扩展模块
关于 .pyd 文件， 等同于什么?	Windows的 DLL 文件
关于 .pyd 文件， 能打开吗?	❌ 不能，是二进制机器码
关于 .pyd 文件， 如何用?	✅ 用 import 导入使用
关于 .pyd 文件， 为什么用pyd ?	性能优化 + 代码保护
完整的量化交易系统架构 分为三层，这三层分别是什么？	数据层策略层和执行层。
完整的量化交易系统架构 分为三层，其中数据层策略层执行层分别是由什么构成的？ 以及什么作用？	数据层跟执行层是使用了xtquant ，分别去获取数据以及去下单交易。 策略层的话，则是包括选股逻辑和轮动逻辑。
xtquant 和自己的量化系统两者之间是什么关系？	"xtquant 是量化系统的""手和眼睛"" 用于量化系统的数据层和执行层，分别用于获取数据以及下单交易。"
xtquant 和自己的量化系统完整的执行流程是什么样的？	第1步：xtquant 获取数据    ↓ 第2步：选股框架计算因子 + 选股    ↓ 第3步：轮动框架决定轮动策略    ↓ 第4步：生成交易信号（买什么、卖什么）    ↓ 第5步：xtquant 执行交易下单 ← 如果要实盘，必须用它！
"""xtquant 跟量化系统没关系""是吗？"	"不是的， ""xtquant 不包含策略逻辑，但它是量化系统的数据来源和交易执行器，是实盘交易的必备组件，占整个系统价值的 50%"
选股框架。轮动框架实盘框架。 三个框架的关系是什么？	选股框架是提供选股的结果，给轮动框架。轮动框架提供轮动的结果给实盘框架。
选股框架，它的运行逻辑是怎么样的？	- 计算各种因子                        - 运行选股策略（诺亚方舟、小市值等）  - 生成选股结果
轮动框架，它的运行逻辑是怎么样的？	- 读取选股框架的结果 - 运行轮动策略（风火轮4等）  - 决定本期买哪个策略
实盘框架，它的运行逻辑是怎么样的？	3.1 生成交易计划           - 读取选股和轮动的结果     - 生成交易计划.csv                                    3.2 Rocket实盘执行         - 读取交易计划             - 连接QMT交易系统          - 自动下单买卖
