#separator:tab
#html:false
刚接外包项目并倾听完客户的想法、目标和期望后，接下来要做什么？	要根据初步沟通结果，整理并输出详细的《项目方案建议书》。
《项目方案建议书》应包括哪些内容？	项目目标：说明项目定位和要实现的商业目标。 功能清单：列出主要功能模块及简要说明。 项目范围：明确项目包含与不包含的内容，避免歧义。 技术方案：说明采用的技术栈及选择理由。 进度计划：列出主要阶段、时间安排和里程碑。 交付内容：说明最终交付的成果物。 报价与付款：列出分阶段报价与付款比例。
装修流程是：确定风格与需求 → 明确装修范围 → 选材与品牌 → 制定施工进度表（水电改造 → 木工 → 油漆 → 家具进场 → 验收）→ 交付钥匙 → 分阶段付款（30%定金 → 40%中期 → 30%验收）。  那么，对应到外包项目，交付流程是什么？	项目目标确定：明确项目方向和商业目标。    功能与范围定义：列出要做和不做的内容，防止范围不清。    技术方案选择：确定技术栈并说明选择理由。    项目计划制定：拆分阶段（UI设计 → 前端 → 后端 → 测试 → 部署），设置里程碑。    成果交付的形式：提交源代码、设计稿、上线产品等。    报价与付款：按阶段付款，如预付30%，中期40%，验收30%。
《项目方案建议书》确认无误后，下一步怎么做？	需签署正式合同，并将最终确认的方案作为附件，明确双方的权利、义务、费用及交付日期等内容。
项目启动后，如何进行定期沟通？	建议每周或每两周召开一次简短的进度会议，汇报已完成内容，收集反馈，确保项目方向正确。
项目交付后，后期维护通常怎么做？	一般会提供1-3个月的免费质保期，用于修复 Bug；若需长期支持或新增功能，应另签维护合同。
`python code/app.py` 和 `uvicorn code.app:app --host 0.0.0.0 --port 9006` 等价吗？	等价。因为 `python code/app.py` 会执行文件末尾的 `uvicorn.run(...)`，启动的就是同一个 FastAPI 应用，初始化逻辑完全一致。
在 `code/app.py` 的 `uvicorn.run(...)` 里加上 `reload=True` 有什么作用？	启用热重载。当代码被修改并保存后，Uvicorn 会自动检测变化并重启服务，无需手动重启。
"访问 http://127.0.0.1:9006 或 http://localhost:9006 显示 {""detail"":""Not Found""} 是什么意思？"	说明服务已启动，但根路径 `/` 没有定义路由，因此 FastAPI 返回默认的 404，这是正常现象。
"访问 http://127.0.0.1:9006 或 http://localhost:9006 显示 {""detail"":""Not Found""} 后该怎么做？"	打开 http://127.0.0.1:9006/docs（或 /redoc），即可查看自动生成的 Swagger 接口文档。
FastAPI 自动生成的 Swagger UI 有什么作用？	用于直接测试接口。
Swagger UI 的使用步骤是什么？	填写接口参数，点击 Execute 按钮，Swagger 会向接口发送请求并显示结果。若返回 200，表示请求成功。
VS Code 的设计理念“终端是终端，编辑器是编辑器”是什么意思？	终端由用户控制，可开多个、切换不同环境； 编辑器的解释器独立负责运行与调试。 两者默认分离，避免环境混乱与出错。
终端提示符里的 (career_env) 和 VS Code 的 Select Interpreter 各代表什么？	(career_env)：终端当前激活的环境。 Select Interpreter：VS Code 编辑器内部绑定的 Python 解释器路径。
VS Code 的 Select Interpreter 会改变 pip 的安装路径吗？为什么？	不会。它只影响 VS Code 运行、调试和补全时使用的解释器，不会改变已激活环境中 pip 的安装路径。pip 安装位置由终端当前环境决定。
在 (career_env) 环境激活状态下执行 pip install，包会安装到主环境（base）吗？	不会。它会安装到当前激活的 (career_env) 环境中，而不是 base。
VS Code 的解释器选择会改变虚拟环境吗？	不会。它只是让编辑器跟随并使用指定环境，不会真正切换或修改虚拟环境本身。
如何查看 career_env 虚拟环境安装位置（是否在 C 盘）？	输入命令：conda env list 即可看到所有环境及其对应路径。
uvloop 是什么库？能在 Windows 上使用吗？	uvloop 是一个用于 Linux 和 macOS 的高性能事件循环库，Windows 上无法编译或使用。
uvloop 的作用是支持 FastAPI 和 Flask 吗？	不是。 uvloop 只是一个高性能事件循环库，可用于提升基于 asyncio 的框架（如 FastAPI、aiohttp）的运行效率； 而 Flask 属于同步框架，与 uvloop 无关。
virturlInterview 接口的作用是什么？	用于模拟面试，对求职者进行实时问答，并以流式方式返回 AI 面试官的回复。
interviewReport 接口的作用是什么？	在面试结束后，根据对话记录、岗位信息及音视频内容，生成综合面试评估报告，并异步回调到指定 URL。
jdFillingGenerate 接口的作用是什么？	用于生成虚拟岗位，AI 会根据用户画像和期望职位自动创建公司与岗位描述。
/resumeBasicOptimize 接口的作用是什么？	用于对简历的基本信息、工作经历和项目经历进行自动润色与优化。
/resumeDeepOptimize 接口的作用是什么？	用于简历深度优化，基于对话历史进行针对性改进与提升。
jdFillingGenerate 接口会生成真实岗位吗？是如何生成的？	不会。它生成的是虚拟岗位，AI 会根据用户画像和期望职位自动构造公司与岗位描述，但这些岗位并不真实存在。
/resumeBasicOptimize 和 /resumeDeepOptimize 的功能有什么区别？	/resumeBasicOptimize：进行基础润色，优化简历的基本信息、工作经历和项目经历。 /resumeDeepOptimize：进行深度优化，结合对话历史进行针对性改进。
/chat 和 /resumeDeepOptimize 这两个接口有什么异同？	本质相同：都调用同一个底层函数，逻辑一致。 体验不同：/chat 提供流式响应，适合实时交互；/resumeDeepOptimize 一次性返回，适合后台处理。
当前项目是如何做意图分类的？	利用大模型理解能力分类： 预设三种意图——resume_optimize、generate_job、chat； 通过提示限定只能三选一，并用 JSON 格式输出，从 intent 字段读取结果路由处理。
/resumeDeepOptimize 的流式响应是指“逐字输出建议”吗？	不是。它指的是“逐模块推送结果”，例如： [模块1：基本信息优化结果] → [模块2：工作经历优化结果] → [模块3：项目经历优化结果]。
/resumeDeepOptimize 为什么使用流式响应？	因为简历优化耗时较长：每个模块（基本信息、工作经历、项目经历）都需单独调用 LLM，整体可能耗时 20 秒以上。 流式响应可分块返回结果，让用户边等边看，显著提升体验。
/resumeDeepOptimize 的流式响应是 LLM 逐字输出或逐字修改简历吗？	都不是，而是按模块逐步推送结果。
heartbeat 的作用是什么？	用于向前端发送“我还活着”的信号，防止长时间无输出时连接被断开。
/resumeDeepOptimize 和 /chat 两个路由读取的请求体字段是否相同？	是的，二者读取的请求体字段完全一致。
/chat 使用 StreamingResponse(detect_intent(...)) 后，前端会依次收到哪些信息？适合什么场景？	前端会依次收到：心跳（type: heartbeat）→ 各模块结果（type: basic / work / project）→ 最终结束信号（type: DONE）。 适用于聊天窗口或需要逐步展示结果的场景。
