所有事物的底层本质是什么？具有什么？|本质都是能量，能量是具有频率的。

生长激素在第一个90分钟的睡眠周期里面分泌量是大概多少？【比例】|70%~80％

什么是教育心理学的高原现象？|学习过程中成长曲线会保持一定的水平而不上升或者是有下降。

如果只是读书，记笔记，学习这种努力的话很有可能会失去，如何固定这些努力成果使用什么原则|最小闭环原则：学习，笔记，复习。

理解复杂的内容和知识依赖于什么？|依赖于记忆。

奇迹早晨的六个关键实践如何相辅相成、协同工作?【包含哪两个方面？】|身体和心灵。

作者建议克服早起困难和不愿意情绪的方法有哪些?【3个】|1.晚上早点睡，10:00入睡 2.积极的心理暗示，暗示会睡得好以及第二天非常美好 3.早上安排一个个人感兴趣的成长项目。

Affirmations(真正的自我肯定)环节中的宣言应该与什么相关?|跟具体的编程目标有关，比如完成两个小时的开发。

晨间运动(Exercise)对程序员有哪些特别的益处?【身体和头脑方面。】|锻炼身体，缓解久坐的亚健康，让头脑更清晰，提高专注力和创造力。

晨间阅读(Reading)该选择哪些类型的内容?如何高效吸收?【2个】|专业领域和个人成长/自我提升领域。

"加入""奇迹早晨""线上社群能带来哪些益处?【感受到什么？】"|与各地同好者交流互励，感受集体力量；说不定能结识新朋友。

前一晚应该做哪些准备，以助力第二天的早起?【3个】|1.早睡 2.做好早起的心理建设，对自己说"我明天要早起，完成SAVERS，这对我很重要" 3.规划好第二天早起的项目。

坚持早起2-3周后，会有什么变化?|习惯会让早起变得越来越自然，身体会自动醒来。

早起带来的成就感会在哪些方面得到体现?【因为觉得自己掌握了什么？】|掌握了时间。

明确这一天的目标有什么好处？【让自己保持什么？】|专注。

如何最大化的个人成长？【什么时候干什么】|早上做个人成长项目/最重要的事情。

早上早起，并且完成个人发展项目，为什么会产生优越感呢？|在大多数人尚未开始一天时别人还在睡觉的时候，已经完成主要任务，要远远领先于大多数人。

早晨的适度锻炼或拉伸可以释放哪些有助于设定一天中能量水平和心情的激素?【哪两种激素】|正能量和幸福感激素，如内啡肽和血清素。

早晨的第一个小时是做什么样的项目？|锻炼提高心率/促进个人发展成长的项目。

早起的人通常比晚起的人怎样?【身体方面和工作方面】|更健康、工作效率更高。

美国一项针对大学生的研究显示，早起学生的学习成绩如何?|普遍优于晚起的学生。

清晨锻炼有什么好处?【给什么定基调？】|给接下来这一天定下基调，保持高效。

心理学家指出，很多成功人士都有什么习惯?|早起的习惯。

根据美国国家睡眠基金会的建议，成年人每天需要几小时睡眠?【几到几小时】|7-9小时睡眠。

"早上醒来如果需要30分钟左右时间梳洗、上厕所，该如何利用这段""黄金时光""?"|听书功能听那些个人成长方面的书/动感音乐，可以在梳洗时规划一天的任务、听有声书、读鼓舞人心的标语、做呼吸或冥想练习等。

一般认为成年人每天需要几小时睡眠?【几个小时到个小时？】|一般认为成年人每天需要7-9小时睡眠。

想要5点起床，就需要几点睡觉?|21:00。

什么时间起床，既能让大脑处于最佳状态，又不会太累?|6:00-7:00起床，大脑状态良好，又比大多数人早1-2小时，这段额外的时间可带来很大不同。

早起的真正目的是什么?【提升什么？】|早起的真正目的是提升生活质量/效率，而非为难自己。

皮质醇分泌的高峰期是什么时间?|清晨6-8点左右达到分泌高峰。

提升自己状态，提高自己士气的关键是提高什么？|提高自己的心率。

在什么时候做什么来奠定这一天的基调？|早上的时候跑步，15分钟。

起来后的那段时间被认为是黄金时间|起来后的第一个小时。

集体意识中负面的公司文化会带来什么影响?【公司的氛围会怎么样？】|玩宫斗、氛围压抑，创造力低，员工没有热情，带来坏运。

"英文中""wet blanket""指代什么样的人?"|wet blanket指那些泼冷水、扑灭他人热情的人。

为什么有些人的婚姻一直陷入结婚离婚的循环?【这些人的无意识深处存在什么倾向？】|精神学家认为，这些人的无意识深处存在着自我惩罚倾向，认为自己不配获得幸福。

零点能量场记录了什么信息?|零点能量场以全息投影的方式记录着过去、现在以及未来的所有信息。

改变无意识、吸引好运的关键是什么?【关键是要对负面想法怎么样？】|将这些负面的想法诠释和转化为正面的经验和感激之情。

为什么要小心日常用语?|日常用语的负面表达会渗透到我们潜意识中，变成负面想法，然后吸引破坏性的事物。

即使与对方和解，关系不一定会改变，但对自己有什么好处?【内心会获得什么？】|自己的心中会获得轻松和解放。

人类有什么趋向?【总是关注什么样的经历，什么感觉。】|注意我们失败的经历，注意让我们痛苦的地方。

我们应该如何对待成功和失败的经验?【应该更多的关注哪一个，然后对于失败的经验呢有什么特别的处理方法呢？】|我们应该更多地把经历放在成功经验上，专注于回想当初如何成功；对于失败，要把它诠释为正面的资产。

霍金斯发现病人疾病的根源是什么?|他发现很多病人疾病的根源是他们意识深处出了问题。

冷漠(50)这个能量等级的人有什么表现?【是主动还是被动？典型的例子是什么？】|对世界完全被动，如行尸走肉，对世界绝望，典型如流浪汉、无家可归者、卧病在床的老人。

