什么是提升记忆效率的首选方法？ | 使用Anki间隔重复系统进行记忆

五分钟或十五分钟休息的核心目标是什么？ | 通过高质量、深度的放松来快速恢复精力

当预计任务耗时超过三小时时应如何处理？ | 将学习活动拆解成多个四小时以内的子任务，每次专注完成一个

每次新活动开始前审视优先级的目的是什么？ | 确保始终在处理当前最重要的事务

创作或论文遇到瓶颈时该怎么办？ | 使用创意流技巧，放任思路自由发挥，想到什么就写什么，不去否定自己

如何为不同类型任务合理分配时间？ | 需要热身的工作分配大块连续时间，不需要热身的工作（如背诵）分配小块时间，一天多次进行

为什么要选择让自己感到精神痛苦的学习方式？ | 精神上越痛苦的学习方式往往意味着学习效率越高

Anki卡片复习困难时该怎么办？ | 1.将卡片拆解成只包含最小信息单元的多张卡片 2.用自己的话重新总结内容

是否存在视觉、听觉、动觉等不同的学习风格？ | 这种理论是错误的，因为所有人学习方式的共性远大于差异

创意流的核心要领是什么？ | 在一小时内自由表达想法，不进行审视或修改

训练前最需要明确的是什么？ | 识别自己的弱点和能力边界，专注于超越现有水平的挑战

避免死记硬背的两种有效方法是什么？ | 1.转述：用自己的话重新表述内容 2.关联：将新知识与已有知识或实际经验联系起来

笔记记录的本质是什么？ | 将新知识与已有知识、个人经验主动建立联系的过程

阅读效果的收获取决于哪两个方面？ | 1.字面理解：作者表达了什么 2.意义建构：读者从中获得了什么启发

Anki中的"搁置"功能是什么意思？ | 将笔记推迟到次日进行复习

从新手到专家的学习过程有哪些特点？ | 1.组块化 2.自动化 3.条件化

睡眠时大脑处于什么状态？ | 身体休息但大脑仍在工作，持续整理和巩固记忆

做梦发生在哪个睡眠阶段？ | REM（快速眼动）睡眠阶段，这是相对较浅的睡眠

记忆巩固需要什么？ | 足够的时间和间隔重复，间隔越长、次数越多，记忆越牢固

不同类型知识适合哪种笔记形式？ | 是什么类型的知识适合划线笔记，为什么和怎么办类型的知识适合问答笔记

工作疲劳时如何有效休息？ | 通过冥想放空、小周天循环、478呼吸法或肌肉渐进放松来充电

