#separator:tab
#html:false
如何从Git仓库克隆项目到本地的命令？	答：使用命令git clone [仓库URL]
在web storm这个IDE中，可视化的方法执行commit操作，背后是执行了哪些git的指令？	先 git add  然后 git commit。
在命令行中执行 git add。数据流向是啥	工作区更改添加到暂存区。
执行了 git commit。数据流向是啥	暂存区的更改提交到本地仓库。
WebStorm里面，当你点击“commit”按钮时，IDE 实际上执行了哪2个指令	更改添加到暂存区。 git add。 暂存的更改提交到本地仓库。 git commit。
执行 哪个git命令时，更改会被添加到暂存区，	git add
Show Diff 在git中这个指令所显示的内容是什么	显示的是仓库中上次提交记录与当前工作区的区别。
当自己对代码进行了修改，想要对比一下，相对于之前提交的版本，有哪些新的改变，要使用哪条git指令？ 	Show Diff
IDE里面的快捷键，调出git操作	alt + ~（左上角的符号）
"IDE（如 WebStorm）中的 ""Force Push"" 选项是什么含义，对于什么指令"	强制推送  git push -f
git pull 包含了哪些指令	fetch 和 merge
在执行 git pull 之前， 建议先做什么	commit 来提交到本地仓库
使用 Git 的拉取（pull）操作的目的	保持您的本地仓库与远程仓库同步，并减少合并冲突 获取到最新的代码状态。
每天开始工作前，或在开始新的任务前，先干什么git操作	从远程仓库拉取最新的更改。git pull
两个从远程仓库到本地仓库的git指令是什么。	pull fetch
为了让本地仓库与远程仓库第一次建立关联，选择 “Manage Remotes…”之后，要进行什么步骤呢?	点击 “+” 添加一个新的远程仓库。输入您在 Gitee/Github 上仓库的 URL
哪个目录是Git用来跟踪和管理该项目版本控制信息的核心存储区。	`.git`目录
git pull命令的作用是什么?	远程仓库的内容合并到本地仓库  从远程仓库获取最新的内容并尝试将其合并到本地仓库中。
git pull执行时，如果无冲突的更改发生会怎样?	Git能够自动合并这些更改，本地代码不会被覆盖。
当git pull遇到有冲突的更改时会怎样?	Git会停止合并过程，并让用户手动解决这些冲突。
如何提交未提交的更改以便于接下来准备执行git pull? 使用哪两个指令？	先使用git add添加更改到暂存区，然后使用git commit提交这些更改。
使用git stash命令的目的是什么?	临时保存工作区和暂存区的未提交的代码   临时保存工作区的未提交的修改 使工作区回到干净的状态。
git pull的主要目的是什么?	获取远程仓库的代码。然后合并到本地仓库。
为什么说定期执行git pull可以提高协作效率?	大家都处于同样版本的代码，都是一样的最新的代码，这样可以更好的协调工作。
git pull实际上是哪两个命令的组合?	git fetch和git merge。
如果远程仓库中的更改与本地更改不冲突，git pull会如何处理?	自动合并这些更改
在git pull过程中如何处理存在冲突的更改?	不会自动覆盖，而是让用户手动解决。
git pull如何确保用户的本地更改不会被无意中覆盖?	不会自动覆盖本地更改，如果出现冲突会要求用户手动解决。
执行git pull之前保持工作目录和暂存区干净的建议是基于什么考虑?	是为了避免工作区未提交的修改在合并的过程中丢失。
执行git pull之前，我们需要执行哪两条git语句？	git add git commit
新分支创建和切换的Git命令是什么?	git switch -c < branch-name>
使用git merge命令合并分支时可能遇到的一个挑战是什么?	可能会遇到代码冲突，需要手动解决。
git reset命令的三种模式分别是什么?	--soft、--mixed和--hard
"在WebStorm IDE中，""Rollback""选项的用途是什么?"	撤销最近的一次或多次Git提交。撤销的是本地仓库的提交。
Rollback在WebStorm中的作用类似于哪个Git命令?	git reset --soft
Git提交的唯一标识是什么?	提交哈希值。
使用git reset --hard HEAD~1命令的作用是什么?哪个仓库回到哪个状态？	本地仓库回到上次提交之前的状态。
强制推送到远程仓库的Git命令是什么?	git push --force
在团队合作项目中使用git push --force的副作用是什么?	覆盖其他人的更改和重写提交历史，引起同步问题。
使用git revert而不是git push --force的优势是什么?对于历史方面	避免重写公共历史，保留历史记录。
团队合作中如何安全地处理错误的提交?使用的是什么git的指令？	git revert
git pull命令是哪两个命令的组合?	git fetch和git merge。
在执行git pull之前提交所有更改的目的是避免什么丢失	避免工作区未提交的代码丢失
执行git pull的工作流程实际上包括哪两个步骤?	获取远程仓库的更改，fetch 然后合并更改到当前分支，merge
使用git stash在git pull前的作用是什么?	临时保存未完成的更改，减少合并冲突的风险。
